Stacking Location,Avg. Total Packages,Avg. OB Containers,Avg. Cubic Volume
UNDEFINED,6317.1875,1434.75,8825.9531
ARSC-21212-FLAT,2304.5625,42.1875,344.9431
ARSC-21312-FLAT,1964.1875,36.5625,301.5631
ARSC-20812-FLAT,1534.3125,31.5,240.5137
ARSC-21507-FLAT,1447.375,29.75,229.365
ARSC-20619-FLAT,1436.5,28.5625,222.5906
ARSC-20803-FLAT,1434.875,20.125,229.4368
ARSC-21412-FLAT,1389.0625,29.75,221.3168
ARSC-21319-FLAT,1203.1875,25.0625,192.64
ARSC-21202-FLAT,1197.3125,17.5625,371.1225
ARSC-20802-FLAT,1142.625,15.625,169.1293
ARSC-21107-FLAT,1113.6875,22,167.0637
ARSC-21019-FLAT,1075.3125,20.1875,163.085
ARSC-20621-FLAT,1042.3125,14.75,167.3506
ARSC-20806-FLAT,1041.4375,15.5625,163.995
ARSC-21002-FLAT,1038.9375,14.6875,158.3087
ARSC-20221-FLAT,1038.375,20.1875,164.3781
ARSC-21112-FLAT,927.4375,22.1875,171.0643
ARSC-21519-FLAT,881.4375,18.125,132.84
ARSC-20406-FLAT,861.0625,14.1875,286.36
ARSC-21420-FLAT,839.5,17.4375,126.8587
ARSC-20606-FLAT,820.9375,14.1875,133.53
ARSC-20612-FLAT,819,19.25,136.3656
ARSC-20407-FLAT,814.6875,16.5,131.3187
ARSC-20412-FLAT,813.8125,18.375,128.4256
ARSC-20607-FLAT,806.375,22.0625,158.0293
ARSC-21207-FLAT,769.375,16.5,121.3112
ARSC-20704-FLAT,750.625,12.125,121.4637
ARSC-21020-FLAT,735.4375,18.1875,139.2387
ARSC-20702-FLAT,734.6875,12.25,115.0462
ARSC-20212-FLAT,721.3125,16.3125,117.7506
ARSC-20807-FLAT,706.375,17.1875,116.3675
ARSC-21103-FLAT,674.8125,12,109.2531
ARSC-20604-FLAT,663.25,11.625,110.2437
ARSC-20319-FLAT,640.875,13,104.4787
ARSC-20703-FLAT,638.125,11.4375,202.4687
ARSC-21003-FLAT,629.875,11.375,102.8006
ARSC-20719-FLAT,608.75,14.125,101.3693
ARSC-21303-FLAT,588.4375,10.875,93.5625
ARSC-20804-FLAT,572,11.25,98.7818
ARSC-21007,570.4375,89.3125,854.8418
ARSC-20420-FLAT,566.125,12.8125,87.4806
ARSC-20421-FLAT,564.4375,13.5,95.2975
NON-CON,551.875,549.75,1368.0306
ARSC-20512-FLAT,551.5625,14,94.1087
ARSC-20603-FLAT,503.4375,9.25,78.14
ARSC-21104-FLAT,500.75,9.1875,80.8418
ARSC-21220-FLAT,497.875,11.75,83.3137
ARSC-21204-FLAT,483.0625,8.25,74.6612
ARSC-20602-FLAT,435.5625,8.4375,70.8418
ARSC-21512,419.125,52.75,493.44
ARSC-20504-FLAT,418.4375,7.9375,68.18
ARSC-20519-FLAT,415.9375,9.875,64.3356
ARSC-20520-FLAT,406,9.5,62.3543
ARSC-20706-FLAT,389.625,12.0625,74.905
ARSC-20507,388.625,64.9375,624.7362
ARSC-20605-FLAT,383.1875,7,56.6737
ARSC-21404-FLAT,372.75,7.5,58.2225
ARSC-21307,370.125,56.5625,532.5468
ARSC-21605-FLAT,366.8125,6.4375,51.7812
ARSC-21119,352.0625,55.1875,527.5331
ARSC-21407,344.5,46.125,490.9275
ARSC-21304-FLAT,344.0625,7.0625,56.105
ARSC-21401-FLAT,341.3125,7.0625,54.1825
ARSC-20805-FLAT,331.75,7.375,54.0681
ARSC-20207,330.375,48.8125,441.4362
ARSC-20205-FLAT,329.125,7.25,52.3631
ARSC-21205-FLAT,326.9375,7.75,53.6256
ARSC-21005-FLAT,325.875,7.0625,53.5525
ARSC-21405-FLAT,321.3125,6.625,49.8743
ARSC-21607-FLAT,318,7,48.7433
ARSC-20711,312.75,22.625,326.3031
ARSC-20712,308.0625,50.5625,452.2387
ARSC-20511,305.375,22.6875,641.4675
ARSC-21408,304.5625,21.6875,317.3268
ARSC-20811,296.75,22.0625,312.4156
ARSC-20707,294.4375,40,432.2631
ARSC-20307,292.8125,48.1875,438.1431
ARSC-20518-2,291,17.25,145.0062
ARSC-21012,290.125,40.5,415.6018
ARSC-20411,287.8125,23.375,329.5131
ARSC-20506-FLAT,287.125,5.9375,90.1368
ARSC-20305-FLAT,283.875,6.375,45.4668
ARSC-20315-2,283.8125,11.9375,110.4837
ARSC-21301-FLAT,281.875,5.1875,43.9068
ARSC-21603-FLAT,281.75,6.5625,42.6662
ARSC-20208,280.5625,19.9375,284.5681
ARSC-20311,277.9375,21.75,310.7318
ARSC-20117-2,277.1875,15.0625,125.4168
ARSC-20312,271.4375,42.4375,417.8312
ARSC-21302-FLAT,270.5,5.5,37.84
ARSC-21604-FLAT,269.75,5.375,38.9156
ARSC-21215-2,269.3125,13.1875,123.5918
ARSC-21219,264.625,35.5625,322.0481
ARSC-20107,264,37.6153,398.1792
ARSC-20408,257.4375,19.9375,276.26
ARSC-21612,253.4,33.2,320.59
ARSC-20601-FLAT,253.125,5.375,39.9687
ARSC-20505-FLAT,251.625,5.25,38.9456
ARSC-20405-FLAT,250.8125,6.1875,40.5425
ARSC-21320,247.75,33.6875,333.8081
ARSC-21011,246.1875,18.75,275.4043
ARSC-21515,244.3125,19.625,270.1206
ARSC-21310-2,243.6875,12.1875,104.4837
ARSC-20419,243.25,33.3125,353.455
ARSC-20114,242.4375,13.5,111.7081
ARSC-21414-2,242.375,10.6875,99.0018
ARSC-20709,241.0625,19.3125,271.3793
ARSC-20105-FLAT,240.9375,5.0625,38.6987
ARSC-21419,240.0625,36.5625,339.6231
ARSC-20705-FLAT,239.625,5.4375,39.2281
ARSC-20620,238.125,35.75,346.4281
ARSC-21619-FLAT,237.75,7.9375,60.7375
ARSC-20801-FLAT,235.875,5.375,37.5681
ARSC-21120-FLAT,232.8125,8.4375,43.0512
ARSC-21511,231.0625,11.75,96.6043
ARSC-20318-2,228.1875,11.6875,91.2862
ARSC-20718,227.375,13.8125,105.7718
ARSC-21216,226.875,12.0625,107.2475
ARSC-20211,222.25,11.3125,100.8931
ARSC-21503-FLAT,222,4.875,33.3431
ARSC-20306-FLAT,221.3125,5.3125,35.2806
ARSC-21610-2,220.75,10,88.9337
ARSC-21513-2,220.6875,11.5,91.1837
ARSC-20717,220,11,94.4325
ARSC-21505-FLAT,218.1875,4.25,33.4981
ARSC-20720,217.875,32.8125,324.3393
